"";"record_id";"other_titles";"publisher";"country_of_publication";"main_topic";"data_type";"related_resources";"holdings";"holdings_begin";"holdings_end";"issn";"arabic_abstract";"english_abstract";"french_abstract";"canonical";"title"
"265";"BIM-260086";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Periodic Statistical ReportsEconomyBotany";"Journals";" مسح معاصر الزيتون ";4;2011-02-28;2014-03-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-260086";" Olive Presses Survey"
"266";"BIM-260147";NA;"Ministry of National Economy Statistical Advisory Committee";"Oman";"Social Sciences (Multidisciplinary)Periodic Statistical ReportsEconomy";"Journals";" Sustainable Development Indicators ";1;2006-12-31;2006-12-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-260147";" مؤشرات التنمية المستدامة"
"267";"BIM-260172";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Social Sciences (Multidisciplinary)Periodic Statistical ReportsEconomy";"Journals";NA;5;2011-04-30;2016-04-30;NA;"تقرير صادر عن السلطة الوطنية الفلسطينية، الجهاز المركزي للإحصاء الفلسطيني يعنى بمسح القوى العاملة في فلسطين.";NA;NA;"https://search.emarefa.net/detail/BIM-260172";" مسح القوى العاملة الفلسطينية"
"268";"BIM-260307";NA;"Ministry of National Economy Statistical Advisory Committee";"Oman";"Social Sciences (Multidisciplinary)Periodic Statistical ReportsEconomy";"Journals";" مؤشرات التنمية المستدامة ";1;2006-12-31;2006-12-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-260307";" Sustainable Development Indicators"
"269";"BIM-260427";"Majallat al-Buhuth : Fiqhiyah, Qanuniyah, Thaqafiyah";"al-Tuhami al-Qaidi";"Morocco";"Social Sciences (Multidisciplinary)ReligionLawIslamic Studies";"Journals";NA;6;2003-06-30;2011-01-31;NA;"مجلة فقهية-قانونية-ثقافية، هدفها تأصيل الثقافة الفقهية و القانونية و تجديد الفكر الثقافي الصحيح وفق منظور متجدد بغير إفراط و لا تفريط.";NA;NA;"https://search.emarefa.net/detail/BIM-260427";" مجلة البحوث"
"270";"BIM-260429";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Social Sciences (Multidisciplinary)Periodic Statistical ReportsEconomy";"Journals";" مسح القوى العاملة الفلسطينية ";5;2011-04-30;2016-04-30;NA;NA;"Annual Report Issued by Palestinian National Authority, Palestinian Central Bureau of Statistics / Palestine.";NA;"https://search.emarefa.net/detail/BIM-260429";" Labour Force Survey"
"271";"BIM-260433";"Majallat Dirāsāt al-Usrah";"Omdurman Islamic University Institute of Family Studies";"Sudan";"Human Sciences (Multidisciplinary)Social Sciences (Multidisciplinary)";"Journals";NA;1;2010-10-31;2010-10-31;"1858-6198";"مجلة علمية محكمة يصدرها معهد دراسات الأسرة-جامعة أم درمان الإسلامية. تنشر أبحاثها في مجال العلوم الاجتماعية و العلوم الإنسانية.";NA;NA;"https://search.emarefa.net/detail/BIM-260433";" مجلة دراسات الأسرة"
"272";"BIM-260457";NA;"Ministry of National Economy Statistical Advisory Committee";"Oman";"Social Sciences (Multidisciplinary)Periodic Statistical ReportsEconomy";"Journals";" Methodologies Guide Sustainable Development Indicators ";1;2006-12-31;2006-12-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-260457";" دليل منهجيات مؤشرات التنمية المستدامة"
"273";"BIM-260468";"Journal of the College of Education for Woman";"University of Baghdad College of Education for Women";"Iraq";"Education";"Journals";NA;55;2006-12-31;2019-12-31;"1680-8730";"اسم المجلة : مجلة كلية التربية للبنات. اختصاص المجلة : العلوم الانسانية. جهة الاصدار : كلية التربية للبنات. الرقم الدولي (ISSN) : 1680-8730 البريد الإلكتروني للمجلة : jour@coeduw.uobaghdad.edu.iq سنة الإصدار : 1990 نوع الإصدار : فصلي الأهداف الموسومة من المجلة : نشر البحوث سواء أكاديمية أو غير أكاديمية التي تساعد في تطوير و ترصين البحث العلمي. لغة النشر : اللغة العربية و الإنكليزية. ";NA;NA;"https://search.emarefa.net/detail/BIM-260468";" مجلة كلية التربية للبنات"
"274";"BIM-260475";NA;"Ministry of National Economy Statistical Advisory Committee";"Oman";"Periodic Statistical ReportsEconomy";"Journals";" دليل منهجيات مؤشرات التنمية المستدامة ";1;2006-12-31;2006-12-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-260475";" Methodologies Guide Sustainable Development Indicators"
"275";"BIM-260543";"Financial Economic Performance Indicator";"The Egyptian Cabinet Information and Decision Support Center";"Egypt";"Periodic Statistical ReportsEconomy";"Journals";NA;1;2010-02-28;2010-02-28;"1687-6628";"تقرير فصلي يصدر عن مجلس الوزراء المصري، مركز المعلومات و دعم اتخاذ القرار. يلعب الاقتصاد المالي دورا كبيرا و متناميا في الاقتصادات المتقدمة و الناشئة على السواء، و يعتبر وجود قطاع مالي يعمل بصورة كفء عنصرا أساسيا لنجاح عمليات التنمية و تعبئة المدخرات، و بالتالي فإن إصلاح و تطوير القطاع المالي يعتبر ضرورة أساسية لمساندة دور كل من القطاع الحكومي و القطاع الخاص للقيام بدورهما في عملية التنمية.";NA;NA;"https://search.emarefa.net/detail/BIM-260543";" تطور أداء الاقتصاد المالي المصري"
"276";"BIM-260560";"مؤشر تصاريح البناءمؤشر تصاريح البناء في مصرConstruction Activity in Egypt Bulletin";"The Egyptian Cabinet Information and Decision Support Center";"Egypt";"Periodic Statistical ReportsLawCivil Engineering";"Journals";NA;1;2010-02-28;2010-02-28;"1687-8981";"مؤشر ربع سنوي يقوم على رصد و متابعة الأداء الاقتصادي من خلال حركة تراخيص البناء، كأحد المؤشرات القائدة للدورات الاقتصادية، حيث يعكس أداء النشاط الاقتصادي لقطاع التشييد و البناء، و يعتمد المؤشر في قياسه على عدد تصاريح الوحدات الجديدة سواء كانت لأغراض سكنية أو غير سكنية تجارية، إدارية....، بالإضافة إلى عدد تصاريح عمليات التعلية و التوسعة لمنشآت قائمة، فهو رقم قياسي بسيط لإجمالي عدد تصاريح البناء في جميع محافظات الجمهورية، بالإضافة إلى المدن العمرانية الجديدة. و يعتمد المؤشر في جمع بياناته على استمارة بيانات رخصة المباني لمتابعة حركة تراخيص البناء الخاص و الحكومي، من خلالها يتم تصميم مؤشر مركب لمتابعة حركة البناء على مستوى محافظات الجمهورية.";NA;NA;"https://search.emarefa.net/detail/BIM-260560";" مؤشر تصاريح البناء في مصر"
"277";"BIM-260596";"Economic and Social Performance of Egypt Compared to Some World Countries";"The Egyptian Cabinet Information and Decision Support Center";"Egypt";"Social Sciences (Multidisciplinary)Periodic Statistical ReportsEconomy";"Journals";NA;2;2010-01-31;2014-04-30;"1687-8965";"هي نشرة نصف سنوية تصدر بهدف متابعة الأداء الاقتصادي و الاجتماعي لبعض دول العالم و ذلك مقارنة بمصر. بهدف التعرف على مدى تحسن أو تدهور الأداء الاقتصادي و الاجتماعي في مصر. تتكون النشرة من ثلاثة أقسام و هي، أولا : السكان و التنمية البشرية، حيث يحتوى ذلك القسم على بيانات عن السكان و قوة العمل، و الصحة، و التعليم، و مؤشرات التنمية البشرية، و البنية التحتية و الرفاهية، و مؤشرات الفقر و الدخل، و ثانيا: الأداء الاقتصادي و يحتوي على بيانات عن الجهاز المصرفي، و التعاملات مع العالم الخارجي، و الحسابات القومية، و ثالثا: القدرة التنافسية للاقتصاد و يحتوي على بعض المؤشرات التي تقيس التقدم الصناعي و التكنولوجي، و تدفقات الاستثمارات الأجنبية.";NA;NA;"https://search.emarefa.net/detail/BIM-260596";" الأداء الاقتصادي و الاجتماعي المقارن لمصر مع بعض دول العالم"
"278";"BIM-260669";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Social Sciences (Multidisciplinary)Periodic Statistical ReportsEconomy";"Journals";NA;4;2010-06-30;2015-07-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-260669";" مسح الطاقة المنزلي"
"279";"BIM-260687";"Majallat al-Iqtiṣād wa-al-ʻUlūm al-SiyāsīyahJournal of Economics and Political Sciences";"Omdurman Islamic University Faculty of Economics and Political Sciences";"Sudan";"EconomyPolitical Sciences";"Journals";" مجلة الاقتصاد و العلوم السياسية و الإحصائية : مجلة علمية دورية ثلث سنوية محكمة ";1;2010-04-30;2010-04-30;"1858-5868";"مجلة علمية دورية ثلث سنوية محكمة تصدر عن جامعة أم درمان الإسلامية، كلية الاقتصاد و العلوم السياسية. تنشر أبحاثها في مجال العلوم الاجتماعية و العلوم الاقتصادية و المالية و إدارة الأعمال.";NA;NA;"https://search.emarefa.net/detail/BIM-260687";" مجلة الاقتصاد و العلوم السياسية"
"280";"BIM-260763";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Social Sciences (Multidisciplinary)Periodic Statistical ReportsEconomy";"Journals";" مسح الطاقة المنزلي ";4;2010-06-30;2015-07-31;NA;NA;"ِAnnual Report Issued by Palestinian National Authority, Palestinian Central Bureau of Statistics / Palestine.";NA;"https://search.emarefa.net/detail/BIM-260763";" Household Energy Survey"
"281";"BIM-260797";"International Observatoire";"University of Baghdad Center for Strategic and International Studies";"Iraq";"Political Sciences";"Journals";NA;1;2009-09-30;2009-09-30;NA;"دورية فكرية يصدرها كل شهرين مركز الدراسات الدولية-جامعة بغداد تعنى بالقضايا و الإحداث الدولية و الإستراتيجية.";NA;NA;"https://search.emarefa.net/detail/BIM-260797";" المرصد الدولي"
"282";"BIM-260947";"Dirassat : Revue Publiée par la Faculté des Lettres et des Sciences Humaines-AgadirRevue Dirassat";"Université Ibn Zohr Faculté des Lettres et des Sciences Humaines";"Morocco";"Human Sciences (Multidisciplinary)";"Journals";NA;13;1989-12-31;2016-12-31;"0855-2833";"مجلة تصدر عن كلية الآداب و العلوم الإنسانية-جامعة ابن زهر، و هي مجلة متعددة التخصصات، تنشر أعمال و أبحاث الأساتذة الباحثين في الآداب و العلوم الإنسانية و هي مفتوحة في وجه الباحثين المغاربة و الأجانب و تهتم بالدرجة الأولى بكل الأبحاث التي لها علاقة بالجنوب المغربي.";NA;NA;"https://search.emarefa.net/detail/BIM-260947";" دراسات"
"283";"BIM-260998";"Journal of Future Studies (JFS)‎ : a Biannual Research Journal";"Future Studies Centre";"Sudan";"Social Sciences (Multidisciplinary)Political Sciences";"Journals";NA;7;2005-10-31;2010-11-30;NA;"مجلة نصف سنوية محكمة تعني بدراسات المستقبل تصدر عن مركز دراسات المستقبل. تنشر أبحاثها في مجال العلوم الاجتماعية";NA;NA;"https://search.emarefa.net/detail/BIM-260998";" مجلة دراسات المستقبل"
"284";"BIM-261006";"Journal of Faculty of Shara'a and Law";"Omdurman Islamic University Faculty of Sharia and Law";"Sudan";"ReligionLaw";"Journals";NA;2;2008-12-31;2010-01-31;"1858-5442";"مجلة علمية محكمة نصف سنوية تصدر عن جامعة أم درمان الإسلامية، كلية الشريعة و القانون. تنشر أبحاثها في مجال العلوم الإجتماعية و العلوم الإنسانية";NA;NA;"https://search.emarefa.net/detail/BIM-261006";" مجلة كلية الشريعة و القانون"
"285";"BIM-261027";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Social Sciences (Multidisciplinary)Periodic Statistical Reports";"Journals";NA;1;2009-12-31;2009-12-31;NA;"تقرير إحصائي يصدر عن الجهاز المركزي للإحصاء الفلسطيني.";NA;NA;"https://search.emarefa.net/detail/BIM-261027";" مسح البيئة المنزلي"
"286";"BIM-261130";"Iraq Journal of Market Research and Consumer Protection";"University of Bagdad Market Research and Consumer Protection Center";"Iraq";"Economics & Business Administration";"Journals";NA;22;2009-09-30;2019-12-31;"2071-3894";"مجلة علمية محكمة يصدرها مركز بحوث السوق و حماية المستهلك / جامعة بغداد. تاريخ أول عدد صدر سنة (2009). عدد الأعداد التي تصدر في السنة (2). عدد الأبحاث في كل إصدار هو (10). عدد الإصدارات التي صدرت خلال الفترة (2009-2014)هو (10) أعداد. ";NA;NA;"https://search.emarefa.net/detail/BIM-261130";" المجلة العراقية لبحوث السوق و حماية المستهلك"
"287";"BIM-261140";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Social Sciences (Multidisciplinary)Periodic Statistical ReportsEarth Science , Water and Environment";"Journals";" مسح البيئة المنزلي ";2;2009-12-31;2013-11-30;NA;NA;"Annual Report Issued from Palestinian National Authority, Palestinian Central Bureau of Statistics.";NA;"https://search.emarefa.net/detail/BIM-261140";" Household Environmental Survey"
"288";"BIM-261155";"Sudan Journal for Research & Strategic Studies";"Sudan Center for Research and Strategic Studies";"Sudan";"Political Sciences";"Journals";NA;5;2007-06-30;2016-12-31;NA;"مجلة علمية تصدر عن مركز السودان للبحوث و الدراسات الاستراتيجية-الخرطوم. تنشر أبحاثها في مجال العلوم الإجتماعية";NA;NA;"https://search.emarefa.net/detail/BIM-261155";" مجلة السودان للبحوث و الدراسات الاستراتيجية"
"289";"BIM-261176";"Journal of Missan Researches";"University of Misan Faculty of Education";"Iraq";"Human Sciences (Multidisciplinary)Natural & Life Sciences (Multidisciplinary)Political Sciences";"Journals";NA;13;2007-06-30;2013-03-31;"1815-6622";"مجلة علمية محكمة تصدرها كلية التربية-جامعة ميسان تاريخ أول عدد صدر سنة 2004. عدد الاعداد التي تنشر في السنة 2 عدد. عدد الاصدارات التي صدرت خلال الفترة مابين 2004-2013هو 18عدد. ";NA;NA;"https://search.emarefa.net/detail/BIM-261176";" مجلة أبحاث ميسان"
"290";"BIM-261177";"Misan Journal of Academic Studies";"University of Misan Faculty of Basic Education";"Iraq";"Human Sciences (Multidisciplinary)Social Sciences (Multidisciplinary)";"Journals";" المعلم الجامعي : مجلة علمية محكمة نصف سنوية ";11;2008-06-30;2014-12-31;"1994-697X";"مجلة علمية محكمة نصف سنوية تصدر في كلية التربية الأساسية-جامعة ميسان. تنشر أبحاثها في مجال العلوم الإنسانية و العلوم الطبيعية و الحياتية.";NA;NA;"https://search.emarefa.net/detail/BIM-261177";" مجلة ميسان للدراسات الأكاديمية"
"291";"BIM-261313";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Periodic Statistical ReportsAgriculture";"Journals";NA;1;2009-09-30;2009-09-30;NA;"تقرير سنوي يصدر عن السلطة الوطنية الفلسطينية، الجهاز المركزي للإحصاء الفلسطيني.";NA;NA;"https://search.emarefa.net/detail/BIM-261313";" الإحصاءات الزراعية : بيانات متنوعة"
"292";"BIM-261316";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Social Sciences (Multidisciplinary)Periodic Statistical ReportsEconomy";"Journals";NA;1;2002-05-31;2002-05-31;NA;"تقرير إحصائي يصدر عن السلطة الوطنية الفلسطينية، الجهاز المركزي للإحصاء الفلسطيني.";NA;NA;"https://search.emarefa.net/detail/BIM-261316";" مسح الخدمات"
"293";"BIM-261799";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Social Sciences (Multidisciplinary)Periodic Statistical ReportsEconomy";"Journals";NA;1;2007-07-31;2007-07-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-261799";" المراقب الاقتصادي و الاجتماعي"
"294";"BIM-261995";"Studies and ResearchÉtudes et RecherchesDirasat and Abhath";"University Ziane Achour Djelfa";"Algeria";"Human Sciences (Multidisciplinary)Social Sciences (Multidisciplinary)";"Journals";NA;39;2009-04-30;2020-01-31;NA;"مجلة دراسات و أبحاث أول دورية جزائرية علمية دولية محكمة ربع سنوية تصدر في شكل الكتروني و ورقي بإشراف هيئة علمية من الباحثين ذوي الخبرة و الكفاءة من داخل و خارج الجزائر و بمتابعة من هيئة تحكيم ذات كفاءة تشكل دوريا لتقييم البحوث و الدراسات الدورية متخصصة في الدراسات و البحوث العلمية الأكاديمية المحكمة من ذوي الخبرة و الاختصاص في ميدان العلوم الإنسانية و الاجتماعية و الإسلامية و الأدب و اللغات و الفنون و الحقوق و العلوم السياسية و العلوم الاقتصادية و العلوم ذات العلاقة.";NA;NA;"https://search.emarefa.net/detail/BIM-261995";" دراسات و أبحاث"
"295";"BIM-261998";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Social Sciences (Multidisciplinary)Periodic Statistical ReportsEconomy";"Journals";" مسح الخدمات";1;2002-05-31;2002-05-31;NA;NA;"Annual Report Issued from Palestinian National Authority, Palestinian Central Bureau of Statistics.";NA;"https://search.emarefa.net/detail/BIM-261998";" Services Survey"
"296";"BIM-262172";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Social Sciences (Multidisciplinary)Periodic Statistical ReportsEconomy";"Journals";" المراقب الاقتصادي و الاجتماعي ";1;2007-07-31;2007-07-31;NA;NA;"Report Issued by Palestinian National Authority, Palestinian Central Bureau of Statistics / Palestine.";NA;"https://search.emarefa.net/detail/BIM-262172";" Economic and Social Monitor"
"297";"BIM-262327";"مسح التجمعات السكانية : سكان التجمعات الفلسطينية";"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Social Sciences (Multidisciplinary)Periodic Statistical Reports";"Journals";NA;2;2008-11-30;2013-09-30;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-262327";" مسح التجمعات السكانية"
"298";"BIM-262428";"التعداد العام للسكان و المساكن و المنشآت : لمحة إحصائية، النتائج النهائية للتعدادالتعداد العام للسكان و المساكن و المنشآت : النتائج النهائية للتعداد في الأراضي الفلسطينية، ملخص (السكان و المساكن)‎التعداد العام للسكان و المساكن و المنشآت : النتائج النهائية للتعداد في الضفة الغربية، ملخص (السكان و المساكن)‎";"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Social Sciences (Multidisciplinary)Periodic Statistical Reports";"Journals";NA;1;2008-08-31;2008-08-31;NA;".التعداد العام للسكان و المساكن و المنشآت تصدر عن السلطة الوطنية الفلسطينية، الجهاز المركزي للإحصاء الفلسطيني. متخصص في مجال التقارير الدورية الإحصائية و العلوم الإجتماعية";NA;NA;"https://search.emarefa.net/detail/BIM-262428";" التعداد العام للسكان و المساكن و المنشآت"
"299";"BIM-262677";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Social Sciences (Multidisciplinary)Periodic Statistical ReportsEconomy";"Journals";" مسح إنفاق و استهلاك الأسرة : مستويات المعيشة في الأراضي الفلسطينية ";1;2010-10-31;2010-10-31;NA;NA;"Annual Report Issued from Palestinian National Authority, Palestinian Central Bureau of Statistics.";NA;"https://search.emarefa.net/detail/BIM-262677";" The Palestinian Expenditure and Consumption Survey : Living Standards in the Palestinian Territory"
"300";"BIM-262765";"Local Community Survey : Small Area Population";"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Social Sciences (Multidisciplinary)Periodic Statistical ReportsEconomy";"Journals";" مسح التجمعات السكانية ";2;2008-11-30;2013-09-30;NA;NA;"Report Issued by Palestinian National Authority, Palestinian Center Bureau of Statistics / Palestine.";NA;"https://search.emarefa.net/detail/BIM-262765";" Local Community Survey"
"301";"BIM-262923";"Population Housing, and Establishment Census : Census Final Results in The Palestinian Territory, Summary (Population and Housing)‎Population Housing, and Establishment Census : Statistical Brief, Summary of Census ResultsPopulation Housing, and Establishment Census : Census Final Results in The West Bank, Summary (Population and Housing)‎";"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Social Sciences (Multidisciplinary)Periodic Statistical Reports";"Journals";" التعداد العام للسكان و المساكن و المنشآت ";1;2008-08-31;2008-08-31;NA;NA;"Population, housing and establishment census Issued from Palestinian National Authority, Palestinian Central Bureau of Statistics. Publish its Researches in the field of Periodic Statistical Reports and Social Sciences / Palestine.";NA;"https://search.emarefa.net/detail/BIM-262923";" Population Housing, and Establishment Census"
"302";"BIM-263004";NA;"Department of Statistics";"Jordan";"Periodic Statistical ReportsAgriculture";"Journals";" نشرة الإحصاءات الزراعية ";5;2007-12-31;2013-07-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-263004";" Agricultural Statistics"
"303";"BIM-263037";"Journal of King Abdul Aziz University : Economics and Administration";"King Abdulaziz University Scientific Publishing Center";"Saudi Arabia";"Economics & Business Administration";"Journals";NA;46;1989-12-31;2016-12-31;"1319-0997";"مجلة جامعة الملك عبد العزيز هي دورية علمية محكمة تصدرها الجامعة و ينشرها مركز النشر العلمي. تنشر المجلة البحوث و الدراسات العلمية الجادة ذات المنهج الرصين و التي تبحث في تطوير العمليات البحثية و التعليمية و التربوية و السلوكية بما يحقق نمواً فكرياً و علمياً في المملكة العربية السعودية و الوطن العربي و العالم بأسره. كما تستقبل كل ما يرد إليها من موضوعات أو أطروحات من المهتمين بقضايا البحث العلمي و المعرفة بأشكالها و أنواعها المختلفة في كل مكان و لذا تضم المجلة عشرة عناوين فرعية هي الآداب و العلوم الإنسانية ؛ الاقتصاد و الإدارة ؛ و العلوم ؛ و العلوم الطبية ؛ و الهندسة ؛ و علوم الأرض ؛ و علوم البحار ؛ و تصاميم البيئة ؛ و علوم الأرصاد و البيئة و زراعة المناطق الجافة ؛ و الاقتصاد الإسلامي. تنشر المجلة الأبحاث و مستخلصاتها باللغتين العربية و الإنجليزية. درجت المجلة كذلك على إصدار أعداد خاصة توثيقاً للمناسبات الوطنية.";NA;NA;"https://search.emarefa.net/detail/BIM-263037";" مجلة جامعة الملك عبد العزيز : الاقتصاد و الإدارة"
"304";"BIM-263233";"Journal of King Abdulaziz University : Islamic Economics";"King Abdulaziz University Scientific Publishing Center";"Saudi Arabia";"Economics & Business AdministrationIslamic Studies";"Journals";NA;54;1989-03-31;2019-10-31;"1018-7383";"مجلة جامعة الملك عبد العزيز الاقتصاد الإسلامي تصدر عن جامعة الملك عبد العزيز، مركز النشر العلمي. تنشر أبحاثها في مجال العلوم الإنسانية و العلوم الاقتصادية والمالية وإدارة الأعمال.";NA;NA;"https://search.emarefa.net/detail/BIM-263233";" مجلة جامعة الملك عبد العزيز : الاقتصاد الإسلامي"
"305";"BIM-263236";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Periodic Statistical ReportsSociologyLaw";"Journals";NA;1;2000-09-30;2000-09-30;NA;"تقرير إحصائي يصدر عن السلطة الوطنية الفلسطينية، الجهاز المركزي للإحصاء الفلسطيني.";NA;NA;"https://search.emarefa.net/detail/BIM-263236";" إحصاءات الجريمة و الضحية"
"306";"BIM-263371";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Periodic Statistical ReportsSociologyLaw";"Journals";" إحصاءات الجريمة و الضحية ";1;2000-09-30;2000-09-30;NA;NA;"Annual Report Issued from Palestinian National Authority, Palestinian Central Bureau of Statistics.";NA;"https://search.emarefa.net/detail/BIM-263371";" Crime and Victimization Statistics"
"307";"BIM-263385";"Economic Siences";"University of Basrah College of Economic and Administration";"Iraq";"Economics & Business Administration";"Journals";NA;40;2005-05-31;2019-12-31;"1814-9669";"مجلة أكاديمية محكمة فصلية تعنى بالأبحاث الاقتصادية و الإدارية و المحاسبية و الإحصائية و العلوم المالية و المصرفية . أصدر أول عدد للمجلة عام 1981.";NA;NA;"https://search.emarefa.net/detail/BIM-263385";" العلوم الاقتصادية"
"308";"BIM-263488";"النشاط الفندقي في فلسطينالنشاط الفندقي في الضفة";"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Economics & Business AdministrationPeriodic Statistical Reports";"Journals";" النشاط الفندقي في الأراضي الفلسطينية ";3;2008-04-30;2014-04-30;NA;"النشرة السنوية تصدر عن السلطة الوطنية الفلسطينية، الجهاز المركزي للإحصاء الفلسطيني. متخصص في مجال التقارير الدورية الإحصائية و العلوم الاقتصادية والمالية وإدارة الأعمال.";NA;NA;"https://search.emarefa.net/detail/BIM-263488";" النشاط الفندقي في الأراضي الفلسطينية"
"309";"BIM-263542";"Hotel Activities in the West Bank";"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Periodic Statistical ReportsEconomy";"Journals";NA;3;2008-04-30;2014-04-30;NA;NA;"Annual bulletin Issued from Palestinian National Authority, Palestinian Central Bureau of Statistics. Publish its Researches in the field of Economics & Business Administration and Periodic Statistical Reports / Palestine.";NA;"https://search.emarefa.net/detail/BIM-263542";" Hotel Activities in the Palestinian Territory"
"310";"BIM-263583";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Human Sciences (Multidisciplinary)Periodic Statistical Reports";"Journals";NA;2;2000-06-30;2002-10-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-263583";" إحصاءات الثقافة"
"311";"BIM-263585";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Human Sciences (Multidisciplinary)Social Sciences (Multidisciplinary)Periodic Statistical Reports";"Journals";" إحصاءات الثقافة ";2;2000-06-30;2002-10-31;NA;NA;" Report Issued by Palestinian National Authority, Palestinian Central Bureau of Statistics / Palestine";NA;"https://search.emarefa.net/detail/BIM-263585";" Culture Statistics"
"312";"BIM-263591";"Journal of Basrah Researches for Human Sciencesسلسلة العلوم الإنسانية : مجلة فصلية محكمة و مفهرسةمجلة أبحاث البصرة : العلوم الإنسانيةJournal of Abhath Al-Basrah for Human Sciences";"University of Basrah College of Education for Human Sciences";"Iraq";"Human Sciences (Multidisciplinary)";"Journals";NA;44;2008-06-30;2019-12-31;"1817-2695";"مجلة محكمة تاريخ أول صدور لها 1993، بدأت نصف سنوية منذ 1993-2010، و أصبحت فصلية من 2011- حتى الآن. جامعة البصرة، كلية التربية الانسانية / العراق.";NA;NA;"https://search.emarefa.net/detail/BIM-263591";" مجلة أبحاث البصرة للعلوم الإنسانية"
"313";"BIM-263743";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Economics & Business AdministrationPeriodic Statistical Reports";"Journals";" Producer Price Index  الأسعار و الأرقام القياسية : النشرة السنوية ";1;2002-06-30;2002-06-30;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-263743";" الأرقام القياسية لأسعار المنتج"
"314";"BIM-263746";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Periodic Statistical ReportsEconomy";"Journals";" Price and Price Indices : Annual Bulletin  الأرقام القياسية لأسعار المنتج ";1;2002-06-30;2002-06-30;NA;NA;"Annual Report Issued by Palestinian National Authority, Palestinian Central Bureau of Statistics / Palestine";NA;"https://search.emarefa.net/detail/BIM-263746";" Producer Price Index"
"315";"BIM-263773";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Periodic Statistical ReportsEconomyCommerce";"Journals";" Wholesale Price Index  الأسعار و الأرقام القياسية : النشرة السنوية ";1;2002-08-31;2002-08-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-263773";" الأرقام القياسية لأسعار الجملة"
"316";"BIM-263774";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Economics & Business AdministrationPeriodic Statistical Reports";"Journals";" Price and Price Indices : Annual Bulletin  الأرقام القياسية لأسعار الجملة ";1;2002-08-31;2002-08-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-263774";" Wholesale Price Index"
"317";"BIM-263971";NA;"Palestinian National Authority Palestinian Central Bureau of Statistics";"Palestine (West Bank)";"Social Sciences (Multidisciplinary)Periodic Statistical Reports";"Journals";NA;1;2000-05-31;2000-05-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-263971";" الزواج و الطلاق في الأراضي الفلسطينية"
